

 8176 atoms
17 atom types
-49 72.0363 xlo xhi
0 24.2487 ylo yhi
-4.55 50.05 zlo zhi

Masses

1  12.01070 # CpB
2  12.01070 # CC1
3  12.01070 # CC2
4  12.01070 # CE
5  12.01070 # CH
6  12.01070 # CW
7  15.99940 # OC1
8  15.99940 # OC2
9  15.99940 # OE
10  15.99940 # OH
11  15.99940 # OW
12  15.99940 # OD
13  1.00794 # HC
14  1.00794 # HH
15  1.00794 # HW
16  2.01410 # HD
17  12.01070 # CpE
Atoms # charge
322 14 0.000000 20.792302 12.124356  1.662545
323 10 0.000000 12.600000 6.062178  1.350000
324 14 0.000000 11.692302 6.062178  1.662545
325 10 0.000000 6.300000 0.000000  1.350000
326 14 0.000000 5.392302 0.000000  1.662545
327 10 0.000000 11.200000 18.186533  -1.350000
328 14 0.000000 10.292302 18.186533  -1.662545
329 10 0.000000 21.700000 4.849742  1.350000
330 14 0.000000 20.792302 4.849742  1.662545
331 10 0.000000 21.700000 14.549227  1.350000
332 14 0.000000 20.792302 14.549227  1.662545
333 10 0.000000 19.600000 10.911920  1.350000
334 14 0.000000 18.692302 10.911920  1.662545
335 10 0.000000 4.900000 12.124356  -1.350000
336 14 0.000000 3.992302 12.124356  -1.662545
337 10 0.000000 14.700000 0.000000  1.350000
338 14 0.000000 13.792302 0.000000  1.662545
339 10 0.000000 0.700000 21.823840  -1.350000
340 14 0.000000 -0.207698 21.823840  -1.662545
341 10 0.000000 16.800000 1.212436  -1.350000
342 14 0.000000 15.892302 1.212436  -1.662545
343 10 0.000000 12.600000 23.036276  -1.350000
344 14 0.000000 11.692302 23.036276  -1.662545
345 10 0.000000 18.900000 12.124356  -1.350000
346 14 0.000000 17.992302 12.124356  -1.662545
347 10 0.000000 17.500000 21.823840  -1.350000
348 14 0.000000 16.592302 21.823840  -1.662545
349 10 0.000000 14.700000 7.274613  1.350000
350 14 0.000000 13.792302 7.274613  1.662545
351 10 0.000000 17.500000 2.424871  1.350000
352 14 0.000000 16.592302 2.424871  1.662545
353 10 0.000000 23.100000 21.823840  -1.350000
354 14 0.000000 22.192302 21.823840  -1.662545
355 10 0.000000 12.600000 1.212436  -1.350000
356 14 0.000000 11.692302 1.212436  -1.662545
357 10 0.000000 17.500000 14.549227  1.350000
358 14 0.000000 16.592302 14.549227  1.662545
359 10 0.000000 9.100000 2.424871  -1.350000
360 14 0.000000 8.192302 2.424871  -1.662545
361 10 0.000000 21.700000 0.000000  1.350000
362 14 0.000000 20.792302 0.000000  1.662545
363 10 0.000000 7.000000 23.036276  -1.350000
364 14 0.000000 6.092302 23.036276  -1.662545
365 10 0.000000 9.100000 19.398969  1.350000
366 14 0.000000 8.192302 19.398969  1.662545
367 10 0.000000 17.500000 9.699485  1.350000
368 14 0.000000 16.592302 9.699485  1.662545
369 10 0.000000 19.600000 13.336791  1.350000
370 14 0.000000 18.692302 13.336791  1.662545
371 10 0.000000 14.700000 2.424871  1.350000
372 14 0.000000 13.792302 2.424871  1.662545
373 10 0.000000 8.400000 15.761662  -1.350000
374 14 0.000000 7.492302 15.761662  -1.662545
375 10 0.000000 14.700000 16.974098  1.350000
376 14 0.000000 13.792302 16.974098  1.662545
377 10 0.000000 6.300000 7.274613  -1.350000
378 14 0.000000 5.392302 7.274613  -1.662545
379 10 0.000000 23.100000 14.549227  -1.350000
380 14 0.000000 22.192302 14.549227  -1.662545
381 10 0.000000 6.300000 14.549227  -1.350000
382 14 0.000000 5.392302 14.549227  -1.662545
383 10 0.000000 18.900000 19.398969  1.350000
384 14 0.000000 17.992302 19.398969  1.662545
385 1 0.000000 0.700000 0.000000  9.100000
386 1 0.000000 4.900000 0.000000  9.100000
387 5 0.000000 9.100000 0.000000  9.100000
388 1 0.000000 13.300000 0.000000  9.100000
389 1 0.000000 17.500000 0.000000  9.100000
390 5 0.000000 21.700000 0.000000  9.100000
391 1 0.000000 0.700000 2.424871  9.100000
392 1 0.000000 4.900000 2.424871  9.100000
393 5 0.000000 9.100000 2.424871  9.100000
394 1 0.000000 13.300000 2.424871  9.100000
395 5 0.000000 17.500000 2.424871  9.100000
396 5 0.000000 21.700000 2.424871  9.100000
397 1 0.000000 0.700000 4.849742  9.100000
398 1 0.000000 4.900000 4.849742  9.100000
399 1 0.000000 9.100000 4.849742  9.100000
400 1 0.000000 13.300000 4.849742  9.100000
401 1 0.000000 17.500000 4.849742  9.100000
402 5 0.000000 21.700000 4.849742  9.100000
403 1 0.000000 0.700000 7.274613  9.100000
404 1 0.000000 4.900000 7.274613  9.100000
405 1 0.000000 9.100000 7.274613  9.100000
406 1 0.000000 13.300000 7.274613  9.100000
407 5 0.000000 17.500000 7.274613  9.100000
408 1 0.000000 21.700000 7.274613  9.100000
409 1 0.000000 0.700000 9.699485  9.100000
410 1 0.000000 4.900000 9.699485  9.100000
411 1 0.000000 9.100000 9.699485  9.100000
412 1 0.000000 13.300000 9.699485  9.100000
413 5 0.000000 17.500000 9.699485  9.100000
414 5 0.000000 21.700000 9.699485  9.100000
415 1 0.000000 0.700000 12.124356  9.100000
416 5 0.000000 4.900000 12.124356  9.100000
417 1 0.000000 9.100000 12.124356  9.100000
418 1 0.000000 13.300000 12.124356  9.100000
419 1 0.000000 17.500000 12.124356  9.100000
420 5 0.000000 21.700000 12.124356  9.100000
421 1 0.000000 0.700000 14.549227  9.100000
422 5 0.000000 4.900000 14.549227  9.100000
423 1 0.000000 9.100000 14.549227  9.100000
424 1 0.000000 13.300000 14.549227  9.100000
425 5 0.000000 17.500000 14.549227  9.100000
426 5 0.000000 21.700000 14.549227  9.100000
427 1 0.000000 0.700000 16.974098  9.100000
428 1 0.000000 4.900000 16.974098  9.100000
429 1 0.000000 9.100000 16.974098  9.100000
430 5 0.000000 13.300000 16.974098  9.100000
431 1 0.000000 17.500000 16.974098  9.100000
432 1 0.000000 21.700000 16.974098  9.100000
433 1 0.000000 0.700000 19.398969  9.100000
434 1 0.000000 4.900000 19.398969  9.100000
435 5 0.000000 9.100000 19.398969  9.100000
436 1 0.000000 13.300000 19.398969  9.100000
437 1 0.000000 17.500000 19.398969  9.100000
438 5 0.000000 21.700000 19.398969  9.100000
439 5 0.000000 0.700000 21.823840  9.100000
440 1 0.000000 4.900000 21.823840  9.100000
441 1 0.000000 9.100000 21.823840  9.100000
442 1 0.000000 13.300000 21.823840  9.100000
443 5 0.000000 17.500000 21.823840  9.100000
444 1 0.000000 21.700000 21.823840  9.100000
445 1 0.000000 2.100000 0.000000  9.100000
446 5 0.000000 6.300000 0.000000  9.100000
447 1 0.000000 10.500000 0.000000  9.100000
448 5 0.000000 14.700000 0.000000  9.100000
449 1 0.000000 18.900000 0.000000  9.100000
450 1 0.000000 23.100000 0.000000  9.100000
451 1 0.000000 2.100000 2.424871  9.100000
452 5 0.000000 6.300000 2.424871  9.100000
453 1 0.000000 10.500000 2.424871  9.100000
454 5 0.000000 14.700000 2.424871  9.100000
455 1 0.000000 18.900000 2.424871  9.100000
456 1 0.000000 23.100000 2.424871  9.100000
457 5 0.000000 2.100000 4.849742  9.100000
458 5 0.000000 6.300000 4.849742  9.100000
459 1 0.000000 10.500000 4.849742  9.100000
460 5 0.000000 14.700000 4.849742  9.100000
461 1 0.000000 18.900000 4.849742  9.100000
462 5 0.000000 23.100000 4.849742  9.100000
463 1 0.000000 2.100000 7.274613  9.100000
464 5 0.000000 6.300000 7.274613  9.100000
465 1 0.000000 10.500000 7.274613  9.100000
466 5 0.000000 14.700000 7.274613  9.100000
467 5 0.000000 18.900000 7.274613  9.100000
468 1 0.000000 23.100000 7.274613  9.100000
469 1 0.000000 2.100000 9.699485  9.100000
470 5 0.000000 6.300000 9.699485  9.100000
471 5 0.000000 10.500000 9.699485  9.100000
472 5 0.000000 14.700000 9.699485  9.100000
473 1 0.000000 18.900000 9.699485  9.100000
474 1 0.000000 23.100000 9.699485  9.100000
475 5 0.000000 2.100000 12.124356  9.100000
476 1 0.000000 6.300000 12.124356  9.100000
477 1 0.000000 10.500000 12.124356  9.100000
478 1 0.000000 14.700000 12.124356  9.100000
479 5 0.000000 18.900000 12.124356  9.100000
480 1 0.000000 23.100000 12.124356  9.100000
481 5 0.000000 2.100000 14.549227  9.100000
482 5 0.000000 6.300000 14.549227  9.100000
